Ejercicio,Mes,Titulo_Codigo,Titulo_Descripcion,CI_Clase_Codigo,CI_Clase_Descripcion,CI_Subclase_Codigo,CI_Subclase_Descripcion,CI_Grupo_Codigo,CI_Grupo_Descripcion,CI_Subgrupo_Codigo,CI_Subgrupo_Descripcion,CI_Partida_Codigo,CI_Partida_Descripcion,CI_Subpartida_Codigo,CI_Subpartida_Descripcion,CI_Renglon_Codigo,CI_Renglon_Descripcion,CI_Subrenglon_Codigo,CI_Subrenglon_Descripcion,CI_Fuente_Codigo,CI_Fuente_Descripcion,FF_Codigo,FF_Descripcion,FF_Clase2,PI_Monto,PP_Monto,DE_Monto,PA_Monto
2024,11,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111101010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         264000000000.00,         277110000000.00,         251685515687.79,         251685515687.79
2024,12,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111101010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         264000000000.00,         277110000000.00,         278074977740.26,         278074977740.26
2024,01,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111102,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110201,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111102010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         389084072934.00,         389084072934.00,          32513277717.00,          32513277717.00
2024,02,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111102,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110201,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111102010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         389084072934.00,         389084072934.00,          60753457230.00,          60753457230.00
2024,03,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111102,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110201,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111102010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         389084072934.00,         389084072934.00,          91870977581.00,          91870977581.00
2024,04,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111102,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110201,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111102010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         389084072934.00,         389084072934.00,         138396924365.00,         138396924365.00
2024,05,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111102,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110201,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111102010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         389084072934.00,         389084072934.00,         172002787484.00,         172002787484.00
2024,06,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111102,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110201,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111102010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         389084072934.00,         389084072934.00,         202627412753.00,         202627412753.00
2024,07,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111102,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110201,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111102010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         389084072934.00,         389084072934.00,         233138303119.00,         233138303119.00
2024,08,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111102,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110201,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111102010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111020100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         389084072934.00,         389084072934.00,         261402487961.00,         261402487961.00
